Electron,13341,13752,12303,12014,13998,12615,13684,14949,12517,12303,14721,12317,14352,13804,11943,11696,12184,14336,13308,14918,13655,13536,13324,13850,11899,14801,14464,12909,13043,14257,13791,12671,13574,13090,12969,13697,13926,11448,12797,13830,12915,15291,12366,12826,14943,12907,13783,12867,13717,13366,12144,13364,13926,14139,12432,14148,13329,12781,13276,12472,13469,13369,15203,14226,12806,12300,12864,12795,15476,13101,14267,14813,13105,13560,13537,13681,12111,14263,13973,12456,12545,12838,13208,13396,12787,14211,14451,13852,13364,14489,14384,13748,14235,13587,12430,14950,13902,13381,13078,12990
Positron,5359,5462,4913,4878,5486,5038,5375,5950,5037,4923,5829,4991,5688,5470,4824,4648,4859,5555,5334,5828,5318,5389,5287,5540,4795,5749,5754,5158,5075,5646,5386,4983,5394,5162,5240,5379,5470,4626,5125,5500,5135,5920,4939,5124,5830,5095,5463,5030,5405,5319,4828,5336,5483,5506,4956,5492,5282,5096,5226,4922,5284,5311,5948,5661,5131,4929,4983,5064,6106,5182,5590,5835,5213,5433,5316,5395,4905,5644,5473,5030,5041,5112,5278,5276,5102,5596,5860,5489,5357,5733,5592,5406,5625,5347,4956,5870,5390,5276,5184,5153
Electron Neutrino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Photon,14081,14579,13012,12517,14895,13367,14714,16086,13227,13110,15734,13045,15282,14705,12624,12343,12925,15330,14251,15987,14546,14467,14301,14572,12494,15740,15451,13588,13718,15113,14675,13202,14389,13873,13786,14502,14798,12003,13584,14801,13743,16306,13333,13610,15944,13740,14580,13631,14453,14082,12711,14339,14874,15009,13273,14998,14282,13631,14015,13146,14184,14196,16239,15178,13489,13023,13748,13520,16509,14127,15232,15711,13946,14501,14323,14386,12831,15185,14800,13259,13224,13711,14085,14371,13632,15065,15583,14720,14031,15595,15176,14516,15154,14520,13130,15989,14704,14182,13932,13786
Neutron,30,63,28,34,32,27,42,44,36,31,43,56,45,31,42,53,34,38,42,39,67,27,40,29,46,51,40,55,45,37,57,32,44,30,54,43,59,24,54,41,33,40,44,30,30,47,59,56,32,30,28,61,54,62,46,26,51,50,32,30,48,58,45,58,39,75,50,38,51,64,37,50,38,53,44,24,43,67,66,39,25,40,39,62,31,47,30,63,57,41,36,46,51,72,48,65,65,40,35,47
Proton,3,13,6,1,2,1,6,3,0,4,4,3,4,4,9,5,2,4,6,5,14,4,2,2,4,9,9,8,6,6,5,4,5,1,6,4,5,0,5,9,3,5,1,1,1,6,6,9,1,4,3,5,10,6,6,5,0,10,2,5,4,8,4,6,6,7,2,5,18,10,5,9,4,5,2,3,6,11,11,3,0,4,6,6,2,5,2,1,10,6,1,2,7,10,3,6,5,1,1,7
Pion 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pion +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Muon +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Muon Neutrino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anti Muon Neutrino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
